LOCATION,INDICATOR,TIME,VALUE
AUS,QGDP,2006-Q1,0.118665921
AUS,QGDP,2006-Q2,0.18747507
AUS,QGDP,2006-Q3,1.489031333
AUS,QGDP,2006-Q4,1.310266369
AUS,QGDP,2007-Q1,1.390955608
AUS,QGDP,2007-Q2,0.607781679
AUS,QGDP,2007-Q3,1.141247319
AUS,QGDP,2007-Q4,0.43885517
AUS,QGDP,2008-Q1,1.035091138
AUS,QGDP,2008-Q2,0.285841847
AUS,QGDP,2008-Q3,0.709143259
AUS,QGDP,2008-Q4,-0.445194282
AUS,QGDP,2009-Q1,0.911711153
AUS,QGDP,2009-Q2,0.747253777
AUS,QGDP,2009-Q3,0.283762725
AUS,QGDP,2009-Q4,0.787545646
AUS,QGDP,2010-Q1,0.434419083
AUS,QGDP,2010-Q2,0.640536054
AUS,QGDP,2010-Q3,0.700459384
AUS,QGDP,2010-Q4,0.918657258
AUS,QGDP,2011-Q1,-0.302186997
AUS,QGDP,2011-Q2,1.270086187
AUS,QGDP,2011-Q3,1.346117339
AUS,QGDP,2011-Q4,1.110027222
AUS,QGDP,2012-Q1,0.947949398
AUS,QGDP,2012-Q2,0.717870983
AUS,QGDP,2012-Q3,0.59112228
AUS,QGDP,2012-Q4,0.515662787
AUS,QGDP,2013-Q1,0.425018021
AUS,QGDP,2013-Q2,0.399448137
AUS,QGDP,2013-Q3,0.785040134
AUS,QGDP,2013-Q4,0.832588648
AUS,QGDP,2014-Q1,0.757646704
AUS,QGDP,2014-Q2,0.433215452
AUS,QGDP,2014-Q3,0.475136051
AUS,QGDP,2014-Q4,0.393587578
AUS,QGDP,2015-Q1,0.906714882
AUS,QGDP,2015-Q2,0.085155453
AUS,QGDP,2015-Q3,1.042488323
AUS,QGDP,2015-Q4,0.627153098
AUS,QGDP,2016-Q1,0.857287928
AUS,QGDP,2016-Q2,0.630262541
AUS,QGDP,2016-Q3,0.131833212
AUS,QGDP,2016-Q4,1.077293215
AUS,QGDP,2017-Q1,0.237389102
AUS,QGDP,2017-Q2,0.652067632
AUS,QGDP,2017-Q3,0.972921371
AUS,QGDP,2017-Q4,0.453139805
AUS,QGDP,2018-Q1,0.862388859
AUS,QGDP,2018-Q2,0.879679205
AUS,QGDP,2018-Q3,0.410944112
AUS,QGDP,2018-Q4,0.136150216
AUS,QGDP,2019-Q1,0.417418933
AUS,QGDP,2019-Q2,0.69778376
AUS,QGDP,2019-Q3,0.803162955
AUS,QGDP,2019-Q4,0.390628883
AUS,QGDP,2020-Q1,-0.293663366
AUS,QGDP,2020-Q2,-6.792819309
AUS,QGDP,2020-Q3,3.416049809
AUS,QGDP,2020-Q4,3.268596012
AUS,QGDP,2021-Q1,1.820594162
AUS,QGDP,2021-Q2,0.703263543
AUS,QGDP,2021-Q3,-1.922074081
CAN,QGDP,1970-Q2,-0.004057869
CAN,QGDP,1970-Q3,1.032504848
CAN,QGDP,1970-Q4,0.178300435
CAN,QGDP,1971-Q1,-0.573694762
CAN,QGDP,1971-Q2,2.900629253
CAN,QGDP,1971-Q3,2.780357231
CAN,QGDP,1971-Q4,1.105730736
CAN,QGDP,1972-Q1,-0.349406697
CAN,QGDP,1972-Q2,2.830064499
CAN,QGDP,1972-Q3,0.278737839
CAN,QGDP,1972-Q4,2.369387683
CAN,QGDP,1973-Q1,2.61132786
CAN,QGDP,1973-Q2,1.084605289
CAN,QGDP,1973-Q3,0.362013934
CAN,QGDP,1973-Q4,1.868824427
CAN,QGDP,1974-Q1,0.741400547
CAN,QGDP,1974-Q2,1.094286656
CAN,QGDP,1974-Q3,-0.087894261
CAN,QGDP,1974-Q4,-0.463837034
CAN,QGDP,1975-Q1,-0.628394126
CAN,QGDP,1975-Q2,1.299640149
CAN,QGDP,1975-Q3,1.877954578
CAN,QGDP,1975-Q4,1.166484824
CAN,QGDP,1976-Q1,1.732839462
CAN,QGDP,1976-Q2,2.163803961
CAN,QGDP,1976-Q3,0.445344075
CAN,QGDP,1976-Q4,0.206075061
CAN,QGDP,1977-Q1,1.422042393
CAN,QGDP,1977-Q2,0.537242437
CAN,QGDP,1977-Q3,0.528995067
CAN,QGDP,1977-Q4,1.58111274
CAN,QGDP,1978-Q1,0.840853027
CAN,QGDP,1978-Q2,0.685996478
CAN,QGDP,1978-Q3,0.954509352
CAN,QGDP,1978-Q4,0.87695671
CAN,QGDP,1979-Q1,0.831951715
CAN,QGDP,1979-Q2,1.347063852
CAN,QGDP,1979-Q3,0.691984333
CAN,QGDP,1979-Q4,0.665624679
CAN,QGDP,1980-Q1,0.700189435
CAN,QGDP,1980-Q2,-0.031789499
CAN,QGDP,1980-Q3,-0.114812067
CAN,QGDP,1980-Q4,1.380163092
CAN,QGDP,1981-Q1,2.20395557
CAN,QGDP,1981-Q2,1.123957546
CAN,QGDP,1981-Q3,-0.897752489
CAN,QGDP,1981-Q4,-0.457822775
CAN,QGDP,1982-Q1,-1.176410874
CAN,QGDP,1982-Q2,-1.157146926
CAN,QGDP,1982-Q3,-0.876514444
CAN,QGDP,1982-Q4,-0.922628586
CAN,QGDP,1983-Q1,1.672805457
CAN,QGDP,1983-Q2,1.965445626
CAN,QGDP,1983-Q3,1.118398007
CAN,QGDP,1983-Q4,1.260197667
CAN,QGDP,1984-Q1,1.720298067
CAN,QGDP,1984-Q2,1.955921331
CAN,QGDP,1984-Q3,0.420533849
CAN,QGDP,1984-Q4,1.584483871
