LOCATION,TIME,VALUE
JPN,1996,3.35
JPN,1997,3.4
JPN,1998,4.108333
JPN,1999,4.683333
JPN,2000,4.716667
JPN,2001,5.033333
JPN,2002,5.375
JPN,2003,5.258333
JPN,2004,4.716667
JPN,2005,4.425
JPN,2006,4.141667
JPN,2007,3.841667
JPN,2008,3.991667
JPN,2009,5.066667
JPN,2010,5.05
JPN,2011,4.583333
JPN,2012,4.35
JPN,2013,4.025
JPN,2014,3.591667
JPN,2015,3.375
JPN,2016,3.116667
JPN,2017,2.808333
JPN,2018,2.441667
JPN,2019,2.35
JPN,2020,2.775
JPN,2021,2.816667
GBR,1983,10.775
GBR,1984,10.85
GBR,1985,11.175
GBR,1986,11.2
GBR,1987,10.275
GBR,1988,8.45
GBR,1989,7.075
GBR,1990,6.825
GBR,1991,8.6
GBR,1992,9.85
GBR,1993,10.4
GBR,1994,9.525
GBR,1995,8.65
GBR,1996,8.125
GBR,1997,7
GBR,1998,6.275
GBR,1999,5.975
GBR,2000,5.45
GBR,2001,5.075
GBR,2002,5.175
GBR,2003,5.025
GBR,2004,4.75
GBR,2005,4.8
GBR,2006,5.425
GBR,2007,5.325
GBR,2008,5.7
GBR,2009,7.625
GBR,2010,7.875
GBR,2011,8.125
GBR,2012,7.975
GBR,2013,7.6
GBR,2014,6.175
GBR,2015,5.35
GBR,2016,4.9
GBR,2017,4.425
GBR,2018,4.1
GBR,2019,3.825
GBR,2020,4.575
GBR,2021,4.425
USA,1970,4.933333
USA,1971,5.958333
USA,1972,5.616667
USA,1973,4.891667
USA,1974,5.591667
USA,1975,8.466666
USA,1976,7.716667
USA,1977,7.066667
USA,1978,6.066667
USA,1979,5.833333
USA,1980,7.141667
USA,1981,7.6
USA,1982,9.708333
USA,1983,9.616667
USA,1984,7.525
USA,1985,7.191667
USA,1986,6.991667
USA,1987,6.191667
USA,1988,5.491667
USA,1989,5.266667
USA,1990,5.616667
USA,1991,6.816667
USA,1992,7.508333
USA,1993,6.9
USA,1994,6.083333
USA,1995,5.608333
USA,1996,5.416667
USA,1997,4.95
USA,1998,4.508333
USA,1999,4.216667
USA,2000,3.991667
USA,2001,4.733333
USA,2002,5.775
USA,2003,5.991667
USA,2004,5.533333
USA,2005,5.066667
USA,2006,4.616667
USA,2007,4.616667
USA,2008,5.775
USA,2009,9.266666
USA,2010,9.616667
USA,2011,8.95
USA,2012,8.066667
USA,2013,7.375
